timestamp,user,source_ip,event,severity,MITRE_Technique
2026-06-13 17:46:40,admin,172.16.5.100,Failed Login,Medium,T1110 - Brute Force
2026-06-13 17:47:40,admin,185.220.101.45,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 17:48:40,alice,192.168.1.25,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 17:49:40,michael,172.16.5.100,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 17:50:40,michael,10.0.0.15,Failed Login,Medium,T1110 - Brute Force
2026-06-13 17:51:40,service.account,45.33.32.156,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 17:52:40,alice,192.168.1.25,Successful Login,Low,T1078 - Valid Accounts
2026-06-13 17:53:40,alice,10.0.0.15,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 17:54:40,john.smith,192.168.1.25,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 17:55:40,john.smith,10.0.0.15,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 17:56:40,michael,10.0.0.15,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 17:57:40,john.smith,192.168.1.25,Failed Login,Medium,T1110 - Brute Force
2026-06-13 17:58:40,alice,172.16.5.100,Privilege Escalation,Critical,T1068 - Exploitation for Privilege Escalation
2026-06-13 17:59:40,john.smith,10.0.0.15,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 18:00:40,john.smith,192.168.1.25,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 18:01:40,michael,192.168.1.25,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:02:40,michael,185.220.101.45,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:03:40,john.smith,10.0.0.15,Successful Login,Low,T1078 - Valid Accounts
2026-06-13 18:04:40,michael,172.16.5.100,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 18:05:40,admin,192.168.1.25,Privilege Escalation,Critical,T1068 - Exploitation for Privilege Escalation
2026-06-13 18:06:40,alice,45.33.32.156,Privilege Escalation,Critical,T1068 - Exploitation for Privilege Escalation
2026-06-13 18:07:40,admin,185.220.101.45,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 18:08:40,michael,192.168.1.25,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 18:09:40,michael,172.16.5.100,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 18:10:40,alice,10.0.0.15,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:11:40,john.smith,192.168.1.25,Privilege Escalation,Critical,T1068 - Exploitation for Privilege Escalation
2026-06-13 18:12:40,service.account,192.168.1.25,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:13:40,admin,185.220.101.45,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 18:14:40,admin,45.33.32.156,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:15:40,john.smith,185.220.101.45,Successful Login,Low,T1078 - Valid Accounts
2026-06-13 18:16:40,alice,10.0.0.15,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 18:17:40,alice,172.16.5.100,Successful Login,Low,T1078 - Valid Accounts
2026-06-13 18:18:40,john.smith,45.33.32.156,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 18:19:40,admin,185.220.101.45,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 18:20:40,admin,10.0.0.15,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:21:40,admin,45.33.32.156,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 18:22:40,admin,192.168.1.25,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 18:23:40,service.account,10.0.0.15,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:24:40,admin,192.168.1.25,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:25:40,john.smith,45.33.32.156,Failed Login,Medium,T1110 - Brute Force
2026-06-13 18:26:40,john.smith,185.220.101.45,Privilege Escalation,Critical,T1068 - Exploitation for Privilege Escalation
2026-06-13 18:27:40,john.smith,185.220.101.45,PowerShell Execution,High,T1059.001 - PowerShell
2026-06-13 18:28:40,service.account,172.16.5.100,Credential Dumping,Critical,T1003 - OS Credential Dumping
2026-06-13 18:29:40,john.smith,185.220.101.45,Privilege Escalation,Critical,T1068 - Exploitation for Privilege Escalation
2026-06-13 18:30:40,john.smith,45.33.32.156,Command and Control Connection,Critical,T1071 - Application Layer Protocol
2026-06-13 18:31:40,alice,45.33.32.156,PowerShell Execution,High,T1059.001 - PowerShell
